"","Site","Year","Bosque","Periodo","Planta","fruit_set","id_planta","X","Degree","Specialization","Closeness","nestedcontribution","match","tot.visits.pl","poll.sp","plant.sp"
"123","Doñana",2021,"Pinar Hinojos",4,"Halimiun calycinum",0,"2,01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"124","Doñana",2021,"Pinar Hinojos",4,"Halimiun calycinum",1,"3,06",NA,NA,NA,NA,NA,NA,NA,NA,NA
"125","Doñana",2021,"Pinar Hinojos",4,"Halimiun calycinum",0.444444444444444,"4,05",NA,NA,NA,NA,NA,NA,NA,NA,NA
"126","Doñana",2021,"Pinar Hinojos",4,"Halimiun calycinum",0.333333333333333,"5,04",NA,NA,NA,NA,NA,NA,NA,NA,NA
"127","Doñana",2021,"Pinar Hinojos",4,"Halimiun calycinum",0.444444444444444,"8,01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"128","Doñana",2021,"Pinar Hinojos",4,"Halimiun calycinum",0.555555555555556,"8,04",NA,NA,NA,NA,NA,NA,NA,NA,NA
"129","Doñana",2021,"Pinar Hinojos",5,"Cistus libanotis",1,"4,08",165,0.0833333333333333,0,0.369070246428542,0.117535647154515,"Doñana_2021_Pinar Hinojos_5",1,12,6
"130","Doñana",2021,"Pinar Hinojos",5,"Cistus libanotis",1,"10,07",165,0.0833333333333333,0,0.369070246428542,0.117535647154515,"Doñana_2021_Pinar Hinojos_5",1,12,6
"131","Doñana",2021,"Pinar Hinojos",5,"Halimiun calycinum",1,"(1,01)2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"132","Doñana",2021,"Pinar Hinojos",5,"Halimiun calycinum",0,"(1,01)3",NA,NA,NA,NA,NA,NA,NA,NA,NA
"133","Doñana",2021,"Pinar Hinojos",5,"Halimiun calycinum",0.333333333333333,"2,01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"134","Doñana",2021,"Pinar Hinojos",5,"Halimiun calycinum",0.4,"4,05",NA,NA,NA,NA,NA,NA,NA,NA,NA
"135","Doñana",2021,"Pinar Hinojos",5,"Halimiun calycinum",1,"5,04",NA,NA,NA,NA,NA,NA,NA,NA,NA
"136","Doñana",2021,"Pinar Hinojos",5,"Halimiun calycinum",0.875,"8,01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"137","Doñana",2021,"Pinar Hinojos",5,"Halimiun calycinum",0.857142857142857,"8,04",NA,NA,NA,NA,NA,NA,NA,NA,NA
"138","Doñana",2021,"Pinar Hinojos",6,"Cistus libanotis",0.454545454545455,"4,08",172,0.545454545454545,0.0740740740740741,0.614785643889138,-0.429129721707111,"Doñana_2021_Pinar Hinojos_6",6,12,7
"139","Doñana",2021,"Pinar Hinojos",6,"Cistus libanotis",0.465116279069767,"10,07",172,0.545454545454545,0.0740740740740741,0.614785643889138,-0.429129721707111,"Doñana_2021_Pinar Hinojos_6",6,12,7
"140","Doñana",2021,"Pinar Hinojos",6,"Halimiun calycinum",1,"(1,01)2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"141","Doñana",2021,"Pinar Hinojos",6,"Halimiun calycinum",0,"(1,01)3",NA,NA,NA,NA,NA,NA,NA,NA,NA
"142","Doñana",2021,"Pinar Hinojos",6,"Halimiun calycinum",0,"2,01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"143","Doñana",2021,"Pinar Hinojos",6,"Halimiun calycinum",0,"3,06",NA,NA,NA,NA,NA,NA,NA,NA,NA
"144","Doñana",2021,"Pinar Hinojos",6,"Halimiun calycinum",0.5,"4,05",NA,NA,NA,NA,NA,NA,NA,NA,NA
"145","Doñana",2021,"Pinar Hinojos",6,"Halimiun calycinum",0,"5,04",NA,NA,NA,NA,NA,NA,NA,NA,NA
"146","Doñana",2021,"Pinar Hinojos",6,"Halimiun calycinum",0,"8,04",NA,NA,NA,NA,NA,NA,NA,NA,NA
