"","Planta","Periodo","Bosque","Year","Site","Semillas_viables","scaled_seeds","id_planta"
"230","Halimium calycinum",5,"Pinar Hinojos","2021","Doñana",5,1.13687658616955,"5,04"
"231","Halimium calycinum",2,"Pinar Hinojos","2021","Doñana",2,-0.576444466226813,"5,04"
"232","Halimium calycinum",4,"Pinar Hinojos","2021","Doñana",4,0.565769568704094,"5,04"
"233","Halimium calycinum",1,"Pinar Hinojos","2021","Doñana",5,1.13687658616955,"8,01"
"234","Halimium calycinum",1,"Pinar Hinojos","2021","Doñana",2,-0.576444466226813,"8,01"
"235","Halimium calycinum",1,"Pinar Hinojos","2021","Doñana",3,-0.00533744876135944,"8,01"
"236","Halimium calycinum",1,"Pinar Hinojos","2021","Doñana",5,1.13687658616955,"8,01"
"237","Halimium calycinum",2,"Pinar Hinojos","2021","Doñana",4,0.565769568704094,"8,01"
"238","Halimium calycinum",2,"Pinar Hinojos","2021","Doñana",5,1.13687658616955,"8,01"
"239","Halimium calycinum",2,"Pinar Hinojos","2021","Doñana",2,-0.576444466226813,"8,01"
"240","Halimium calycinum",3,"Pinar Hinojos","2021","Doñana",1,-1.14755148369227,"8,01"
"241","Halimium calycinum",3,"Pinar Hinojos","2021","Doñana",3,-0.00533744876135944,"8,01"
"242","Halimium calycinum",3,"Pinar Hinojos","2021","Doñana",5,1.13687658616955,"8,01"
"243","Halimium calycinum",3,"Pinar Hinojos","2021","Doñana",2,-0.576444466226813,"8,01"
"244","Halimium calycinum",3,"Pinar Hinojos","2021","Doñana",6,1.707983603635,"8,01"
"245","Halimium calycinum",3,"Pinar Hinojos","2021","Doñana",1,-1.14755148369227,"8,01"
"246","Halimium calycinum",3,"Pinar Hinojos","2021","Doñana",0,-1.71865850115772,"8,01"
"247","Halimium calycinum",4,"Pinar Hinojos","2021","Doñana",2,-0.576444466226813,"8,01"
"248","Halimium calycinum",4,"Pinar Hinojos","2021","Doñana",3,-0.00533744876135944,"8,01"
"249","Halimium calycinum",4,"Pinar Hinojos","2021","Doñana",5,1.13687658616955,"8,01"
"250","Halimium calycinum",4,"Pinar Hinojos","2021","Doñana",4,0.565769568704094,"8,01"
"251","Halimium calycinum",5,"Pinar Hinojos","2021","Doñana",2,-0.576444466226813,"8,01"
"252","Halimium calycinum",5,"Pinar Hinojos","2021","Doñana",5,1.13687658616955,"8,01"
"253","Halimium calycinum",5,"Pinar Hinojos","2021","Doñana",2,-0.576444466226813,"8,01"
"254","Halimium calycinum",5,"Pinar Hinojos","2021","Doñana",1,-1.14755148369227,"8,01"
"255","Halimium calycinum",5,"Pinar Hinojos","2021","Doñana",3,-0.00533744876135944,"8,01"
"256","Halimium calycinum",5,"Pinar Hinojos","2021","Doñana",2,-0.576444466226813,"8,01"
"257","Halimium calycinum",5,"Pinar Hinojos","2021","Doñana",4,0.565769568704094,"8,01"
"258","Halimium calycinum",1,"Pinar Hinojos","2021","Doñana",4,0.565769568704094,"8,04"
"259","Halimium calycinum",1,"Pinar Hinojos","2021","Doñana",0,-1.71865850115772,"8,04"
"260","Halimium calycinum",1,"Pinar Hinojos","2021","Doñana",5,1.13687658616955,"8,04"
"261","Halimium calycinum",1,"Pinar Hinojos","2021","Doñana",0,-1.71865850115772,"8,04"
"262","Halimium calycinum",2,"Pinar Hinojos","2021","Doñana",4,0.565769568704094,"8,04"
"263","Halimium calycinum",2,"Pinar Hinojos","2021","Doñana",3,-0.00533744876135944,"8,04"
"264","Halimium calycinum",2,"Pinar Hinojos","2021","Doñana",2,-0.576444466226813,"8,04"
"265","Halimium calycinum",2,"Pinar Hinojos","2021","Doñana",1,-1.14755148369227,"8,04"
"266","Halimium calycinum",3,"Pinar Hinojos","2021","Doñana",6,1.707983603635,"8,04"
"267","Halimium calycinum",3,"Pinar Hinojos","2021","Doñana",3,-0.00533744876135944,"8,04"
"268","Halimium calycinum",3,"Pinar Hinojos","2021","Doñana",6,1.707983603635,"8,04"
"269","Halimium calycinum",3,"Pinar Hinojos","2021","Doñana",6,1.707983603635,"8,04"
"270","Halimium calycinum",3,"Pinar Hinojos","2021","Doñana",6,1.707983603635,"8,04"
"271","Halimium calycinum",3,"Pinar Hinojos","2021","Doñana",4,0.565769568704094,"8,04"
"272","Halimium calycinum",4,"Pinar Hinojos","2021","Doñana",1,-1.14755148369227,"8,04"
